,id,type,xyz,cif,smiles,structure_metadata,doi,orca_out,orca_xyz,singlet_energy,triplet_energy,quintet_energy,journal
10,ATEWUT,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/ATEWUT_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/ATEWUT.cif,CN(C)c1ccc(cc1)C1=c2c(C)c(C)c3=CC4=[N]5[Zn@]6(n23)n2c(C=C5C(=C4C)CC)c(CC)c(C)c2C=C2C(=C(C)C1=[N]62)C,"{""audit_creation_date"": ""2016-08-24"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""ATEWUT"", ""database_code_depnum_ccdc_archive"": ""CCDC 1471067"", ""chemical_formula_sum"": ""C38 H41 N5 Zn1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""32"", ""journal_year"": ""2016"", ""journal_page_first"": ""1293"", ""journal_name_full"": ""Wuji Huaxue Xuebao(Chin.)(Chin.J.Inorg.Chem.) "", ""publ_author_name"": [""Qiu-Yue Sha"", ""Xue-Mei Yuan"", ""Xiao-Yu  Wang"", ""Ji-Chao Chen"", ""Li Xu"", ""Hai-Jun Xu""]}",10.1007/s40242-016-6093-7,,,-3522.918586549883,-3522.85020117768,-3522.78232434447,Wuji Huaxue Xuebao(Chin.)(Chin.J.Inorg.Chem.) 
11,ATUSOX,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/ATUSOX_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/ATUSOX.cif,[Zn]123(n4c5=C(C6=[N]1C(=C(c1ccccc1)c1n2c(cc1)C(=C1C=CC(=[N]31)C(=c4cc5)c1ccccc1)c1ccccc1)C=C6)c1ccccc1)O[S](C)C,"{""audit_creation_date"": ""2004-07-02"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""ATUSOX"", ""database_code_depnum_ccdc_archive"": ""CCDC 239057"", ""chemical_formula_sum"": ""C47.79 H38.95 Cl0.63 N4 O1.79 S1.79 Zn1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""60"", ""journal_year"": ""2004"", ""journal_page_first"": ""m579"", ""journal_name_full"": ""Acta Crystallogr.,Sect.E:Struct.Rep.Online "", ""publ_author_name"": [""M.Vinodu"", ""I.Goldberg""]}",10.1107/s1600536804008591,,,-4241.517174501859,-4241.457683890218,-4241.389406823151,"Acta Crystallogr.,Sect.E:Struct.Rep.Online "
12,AWIQEC,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/AWIQEC_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/AWIQEC.cif,c1(ccc(C2=C3[N]4=C(C=C3)C(=c3n5[Pt@@]64[N]4=C(C(=c5cc3)c3ccc(cc3)C(C)(C)C)C=CC4=C(c3ccc2n63)c2ccc(cc2)C(C)(C)C)c2ccc(cc2)C(C)(C)C)cc1)C(C)(C)C,"{""audit_creation_date"": ""2004-08-19"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""AWIQEC"", ""database_code_depnum_ccdc_archive"": ""CCDC 182503"", ""chemical_formula_sum"": ""C66 H65 Cl1 N4 Pt1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""76"", ""journal_year"": ""2003"", ""journal_page_first"": ""2123"", ""journal_name_full"": ""Bull.Chem.Soc.Jpn. "", ""publ_author_name"": [""M.Umemiya"", ""K.Sugiura"", ""H.Miyasaka"", ""T.Ishii"", ""M.Yamashita""]}",10.1246/bcsj.76.2123,,,-2656.701304435233,-2656.628927770896,-2656.555215083217,Bull.Chem.Soc.Jpn. 
13,AWOMOP,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/AWOMOP_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/AWOMOP.cif,C(C)C1=C(CC)C2=Cc3c(CC)c(c4C=C5C(=C(C6=[N]5[Pt@]5(n7c(=C6c6ccccc6)c(c(CC)c7=CC1=[N]25)CC)n34)CC)CC)CC,"{""audit_creation_date"": ""2011-09-15"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""AWOMOP"", ""database_code_depnum_ccdc_archive"": ""CCDC 841024"", ""chemical_formula_sum"": ""C42 H48 N4 Pt1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""67"", ""journal_year"": ""2011"", ""journal_page_first"": ""m1077"", ""journal_name_full"": ""Acta Crystallogr.,Sect.E:Struct.Rep.Online "", ""publ_author_name"": [""M.O.Senge"", ""J.Richter""]}",10.1107/s1600536811026882,,,-1964.821816588381,-1964.746447375443,-1964.672067584796,"Acta Crystallogr.,Sect.E:Struct.Rep.Online "
14,AXUWUL,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/AXUWUL_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/AXUWUL.cif,c1cccc(C2=c3ccc4=C(C#Cc5ccc(cc5)N(=O)=O)C5=[N]6C(=C(c7ccc8C(=C9C=CC2=[N]9[Ni@]6(n34)n78)C#CC2=CC=C[C@H]2[Fe][C@H]2C=CC=C2)c2ccccc2)C=C5)c1,"{""audit_creation_date"": ""2004-09-24"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""AXUWUL"", ""database_code_depnum_ccdc_archive"": ""CCDC 224460"", ""chemical_formula_sum"": ""C53 H35 Cl3 Fe1 N5 Ni1 O3.5"", ""chemical_formula_moiety"": """", ""journal_volume"": ""689"", ""journal_year"": ""2004"", ""journal_page_first"": ""1593"", ""journal_name_full"": ""J.Organomet.Chem. "", ""publ_author_name"": [""Ka-Lok Cheng"", ""Hung-Wing Li"", ""D.K.P.Ng""]}",10.1016/j.jorganchem.2004.02.007,,,,,,J.Organomet.Chem. 
15,AZIVEK,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/AZIVEK_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/AZIVEK.cif,[Pt@@]123[N]4=C5C(=C(C4=C(c4c(c(c(C(=C6C(=C(C(=[N]26)C(=c2c(c(c(=C5c5c(F)c(c(c(c5F)F)F)F)n12)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)n34)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F,"{""audit_creation_date"": ""2004-11-10"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""AZIVEK"", ""database_code_depnum_ccdc_archive"": ""CCDC 243129"", ""chemical_formula_sum"": ""C44 F28 N4 Pt1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""43"", ""journal_year"": ""2004"", ""journal_page_first"": ""3724"", ""journal_name_full"": ""Inorg.Chem. "", ""publ_author_name"": [""Siu-Wai Lai"", ""Yuan-Jun Hou"", ""Chi-Ming Che"", ""Hei-Leung Pang"", ""Kwok-Yin Wong"", ""C.K.Chang"", ""Nianyong Zhu""]}",10.1021/ic049902h,,,-4806.058564280332,-4805.980929470793,-4805.90751910998,Inorg.Chem. 
16,BADREE,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/BADREE_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/BADREE.cif,c12=CC3=[N]4C(=C(c5ccc6C(=C7C=CC8=[N]7[Zn@]4(n2c(=C8c2cc(cc(C(C)(C)C)c2)C(C)(C)C)cc1)n56)[N][N]c1ccccc1)c1cc(C(C)(C)C)cc(c1)C(C)(C)C)C=C3,"{""audit_creation_date"": ""2002-04-24"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""BADREE"", ""database_code_depnum_ccdc_archive"": ""CCDC 173279"", ""chemical_formula_sum"": ""C57.75 H65 N6 Zn1"", ""chemical_formula_moiety"": """", ""journal_volume"": null, ""journal_year"": ""2002"", ""journal_page_first"": ""320"", ""journal_name_full"": ""J.Chem.Soc.,Perkin Trans.1 "", ""publ_author_name"": [""T.E.O.Screen"", ""I.M.Blake"", ""L.H.Rees"", ""W.Clegg"", ""S.J.Borwick"", ""H.L.Anderson""]}",10.1039/b109915a,,,-4195.19992588434,-4195.147245778861,-4195.078133809699,"J.Chem.Soc.,Perkin Trans.1 "
17,BAYDEL,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/BAYDEL_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/BAYDEL.cif,c12=CC3=[N]4C(=Cc5c(c(c6C=C7C(=C(C8=[N]7[Fe]4([C][S])(n2c(=C8)c(c1CC)CC)(N1C=CN(C)[CH]1)n56)CC)CC)CC)CC)C(=C3CC)CC,"{""audit_creation_date"": ""2004-01-20"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""BAYDEL"", ""database_code_depnum_ccdc_archive"": ""CCDC 219777"", ""chemical_formula_sum"": ""C41 H50 Fe1 N6 S1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""42"", ""journal_year"": ""2003"", ""journal_page_first"": ""5202"", ""journal_name_full"": ""Inorg.Chem. "", ""publ_author_name"": [""Changsheng Cao"", ""S.Dahal"", ""Mayou Shang"", ""A.M.Beatty"", ""W.Hibbs"", ""C.E.Schulz"", ""W.R.Scheidt""]}",10.1021/ic030043r,,,-3579.584662005641,-3579.547017410101,-3579.475283023344,Inorg.Chem. 
18,BEDCAO,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/BEDCAO_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/BEDCAO.cif,[Nb]123(n4c5=CC6=[N]3C(=Cc3c(c(CC)c(C=C7C(=C(C(=[N]17)C=c4c(c5CC)CC)CC)CC)n23)CC)C(=C6CC)CC)([O])F,"{""audit_creation_date"": ""1982-09-17"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""BEDCAO"", ""database_code_depnum_ccdc_archive"": ""CCDC 1107700"", ""chemical_formula_sum"": ""C36 H44 F1 N4 Nb1 O1"", ""chemical_formula_moiety"": """", ""journal_volume"": null, ""journal_year"": ""1982"", ""journal_page_first"": ""247"", ""journal_name_full"": ""J.Chem.Soc.,Dalton Trans. "", ""publ_author_name"": [""C.Lecomte"", ""J.Protas"", ""P.Richard"", ""J.M.Barbe"", ""R.Guilard""]}",10.1039/dt9820000247,,,,,,"J.Chem.Soc.,Dalton Trans. "
19,BEGLUU,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/BEGLUU_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/BEGLUU.cif,[Ni@]123n4c5ccc4C(=C4C=CC(=[N]34)C(=c3ccc(=C(C4=[N]1C(=C5C)C=C4)C)n23)C)C,"{""audit_creation_date"": ""1982-09-16"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""BEGLUU"", ""database_code_depnum_ccdc_archive"": ""CCDC 1107921"", ""chemical_formula_sum"": ""C36 H24 N8 Ni1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""21"", ""journal_year"": ""1982"", ""journal_page_first"": ""199"", ""journal_name_full"": ""Inorg.Chem. "", ""publ_author_name"": [""L.J.Pace"", ""A.Ulman"", ""J.A.Ibers""]}",10.1021/ic00131a037,,,-2651.995205707126,-2651.968643270583,-2651.907833452038,Inorg.Chem. 
20,BITPFE,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/BITPFE_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/BITPFE.cif,c1(ccccc1)C1=C2[N]3=C(C=C2)C(=c2n4[Fe]53([N]3=C(C=CC3=C(c3ccccc3)c3n5c1cc3)C(=c4cc2)c1ccccc1)([C][N]C(C)(C)C)[C][N]C(C)(C)C)c1ccccc1,"{""audit_creation_date"": ""1979-11-16"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""BITPFE"", ""database_code_depnum_ccdc_archive"": null, ""chemical_formula_sum"": ""C68 H62 Fe1 N6"", ""chemical_formula_moiety"": """", ""journal_volume"": ""18"", ""journal_year"": ""1979"", ""journal_page_first"": ""1200"", ""journal_name_full"": ""Inorg.Chem. "", ""publ_author_name"": [""G.B.Jameson"", ""J.A.Ibers""]}",10.1021/ic50195a005,,,-3673.536334460121,-3673.498282745623,-3673.44134630982,Inorg.Chem. 
21,BIYXIS,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/BIYXIS_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/BIYXIS.cif,C12=[N]3C(=C(c4ccc5C(=C6C=CC7=[N]6[Ir]3(C(=O)NCc3ccccc3)(n3c(=C7c6ccc(cc6)C)ccc3=C1c1ccc(C)cc1)(n45)N1C=CN(C)[CH]1)c1ccc(cc1)C)c1ccc(cc1)C)C=C2,"{""audit_creation_date"": ""2014-05-08"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""BIYXIS"", ""database_code_depnum_ccdc_archive"": ""CCDC 977996"", ""chemical_formula_sum"": ""C72 H74 Ir1 N7 O4"", ""chemical_formula_moiety"": """", ""journal_volume"": ""33"", ""journal_year"": ""2014"", ""journal_page_first"": ""2266"", ""journal_name_full"": ""Organometallics "", ""publ_author_name"": [""T.O.Dairo"", ""A.Ellern"", ""R.J.Angelici"", ""L.Keith Woo""]}",10.1021/om500189a,,,-2875.078590144826,-2875.011070409267,-2874.937051223559,Organometallics 
22,BOHNUK,,/home/shachar/repos/PorCrystalStructures/data/xyz/crystal/BOHNUK_0.xyz,/home/shachar/repos/PorCrystalStructures/data/ccdc_data/cif/porphyrins/BOHNUK.cif,O=C(C1=C[CH]N(C=C1)[Zn]123[N]4=C5C=CC4=C(c4ccc(C(=C6C=CC(=[N]26)C(=c2ccc(=C5c5ccccc5)n12)c1ccccc1)c1ccccc1)n34)c1ccccc1)O[Sn](c1c(cccc1)C=O)(C)C,"{""audit_creation_date"": ""2019-04-23"", ""audit_creation_method"": ""CSD-ConQuest-V1"", ""database_code_CSD"": ""BOHNUK"", ""database_code_depnum_ccdc_archive"": ""CCDC 1860613"", ""chemical_formula_sum"": ""C60 H45 Cl2 N5 O3 Sn1 Zn1"", ""chemical_formula_moiety"": """", ""journal_volume"": ""48"", ""journal_year"": ""2019"", ""journal_page_first"": ""6527"", ""journal_name_full"": ""Dalton Trans. "", ""publ_author_name"": [""A.-A.Somesan"", ""I.Barbul"", ""S.-M.Vieriu"", ""R.A.Varga"", ""C.Silvestru""]}",10.1039/c9dt90287b,,,-4762.804455217278,-4762.744951390041,-4762.676670513441,Dalton Trans. 
